z,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
                              15,                                0, 0.00000000000000000000015003340878086498, 0.00000000000000003890695781169492, 0.0000000000000028667020106589338, 0.000000000000024508652114335074,  0.00000000000008739154956552688,   0.0000000000002007822090116646,   0.0000000000003585965629144289,   0.0000000000005469724425429093,   0.0000000000007508024679398829,   0.0000000000009570745574544609,   0.0000000000011559725674410782,   0.0000000000013408356060565133,   0.0000000000015076579853112768,   0.0000000000016544772633616601,    0.000000000001780804501271546
                              16,                                0, 0.0000000000000000000004602665692072564, 0.00000000000000007046808200508567, 0.000000000000004307578194830852, 0.000000000000033492630803585105,  0.00000000000011278664856885514,   0.0000000000002494479384257501,   0.0000000000004336484265343857,   0.0000000000006483730994184475,   0.0000000000008765523416892839,   0.0000000000011042184643685895,   0.0000000000013212618125573986,   0.0000000000015211037116607673,   0.0000000000017000055554952118,    0.000000000001856343464971966,   0.0000000000019899767871210783
                              17,                                0, 0.0000000000000000000013801994650909427, 0.0000000000000001260722969208613, 0.0000000000000064194250621343125, 0.000000000000045489815028821506,  0.00000000000014485917456711275,   0.0000000000003086796249189163,   0.0000000000005226329817831861,   0.0000000000007662757636782385,   0.0000000000010205798891436483,    0.000000000001270742760363234,   0.0000000000015065102581779372,   0.0000000000017215243017070154,   0.0000000000019124277528595077,   0.0000000000020780240407828015,   0.0000000000022185868527688505
                              18,                                0, 0.000000000000000000004045343587445105, 0.0000000000000002227954601773461, 0.000000000000009488024200989938,  0.00000000000006140745716743949,  0.00000000000018515884417151497,   0.0000000000003804744683784481,   0.0000000000006277824957258566,    0.000000000000902993370302086,   0.0000000000011851860133381366,     0.00000000000145888834858746,   0.0000000000017138784624585407,   0.0000000000019441726140617607,   0.0000000000021469172573783617,    0.000000000002321435241349617,    0.000000000002468481675966972
                              19,                                0, 0.000000000000000000011588305302447714, 0.00000000000000038891121727595504, 0.000000000000013908393290906764,  0.00000000000008239053658644353,  0.00000000000023553880457568753,   0.0000000000004671387742799352,   0.0000000000007516140071101031,   0.0000000000010610905035554234,   0.0000000000013728915292393676,   0.0000000000016710893365223554,   0.0000000000019456991053553757,    0.000000000002191279951343236,    0.000000000002405610842026452,   0.0000000000025886285958542984,   0.0000000000027416370637038135
                              20,                                0, 0.00000000000000000003244180167321476, 0.0000000000000006705801445601005,  0.00000000000002022111260491448,  0.00000000000010987287312897058,  0.00000000000029820117416212607,   0.0000000000005713222241714601,   0.0000000000008969541362468457,    0.000000000001243402027735088,   0.0000000000015864522791137734,   0.0000000000019099863731051925,   0.0000000000022044895586201976,   0.0000000000024652460238538172,   0.0000000000026908017510559647,   0.0000000000028818034350472868,   0.0000000000030401703498686622
                              21,                                0, 0.00000000000000000008875236632003886, 0.0000000000000011421056874712075,   0.0000000000000291585540273548,   0.0000000000001456359922195923,    0.000000000000375746261346935,   0.0000000000006960533903694167,   0.0000000000010669641952104572,   0.0000000000014530518511770366,    0.000000000001828874526308139,    0.000000000002178440498002557,   0.0000000000024929651990301106,   0.0000000000027686522337438807,   0.0000000000030049531790576657,    0.000000000003203320639850436,   0.0000000000033663544150228793
                              22,                                0, 0.00000000000000000023725437982087585, 0.0000000000000019213978149619103,  0.00000000000004170290588760624,  0.00000000000019187604081384987,   0.0000000000004712250762218414,   0.0000000000008447760949774279,   0.0000000000012651653683843223,   0.0000000000016934717558777175,   0.0000000000021034306734678144,   0.0000000000024795476197161945,   0.0000000000028140536229732776,    0.000000000003104276082188559,   0.0000000000033507130460957197,   0.0000000000035557178188837576,    0.000000000003722633236619581
                              23,                                0, 0.00000000000000000061969404895919695, 0.000000000000003192893701479276,  0.00000000000005915796636237473,   0.0000000000002512788090485008,   0.0000000000005881945733351606,   0.0000000000010213861408717236,   0.0000000000014954637204518372,   0.0000000000019684202382858433,   0.0000000000024136753739460346,   0.0000000000028166537645314577,   0.0000000000031709099459616976,   0.0000000000034751069062767648,    0.000000000003730930288604746,    0.000000000003941726142270727,   0.0000000000041116392020357064
                              24,                                0, 0.0000000000000000015813896452452927,  0.00000000000000524094244859632,  0.00000000000008323665095913992,   0.0000000000003271025967499259,   0.0000000000007307748738246976,   0.0000000000012302678753716104,   0.0000000000017621747837645367,    0.000000000002282001325635121,    0.000000000002763462131174214,    0.000000000003193371265324182,    0.000000000003566933396832162,     0.00000000000388436317749421,   0.0000000000041486729102093616,    0.000000000004364289083216084,    0.000000000004536212440916687
