z,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
                              10,   0.0000000000009688548822769064,   0.0000000000009327016830011394,   0.0000000000008979638576867688,   0.0000000000008645857655799264,   0.0000000000008325139604620598,   0.0000000000008016971035473298,   0.0000000000007720858798791651,      0.0000000000007436329180822,   0.0000000000007162927133319724,    0.000000000000690021553410619,   0.0000000000006647774477224238,   0.0000000000006405200591484039,   0.0000000000006172106386242421,   0.0000000000005948119623307392,   0.0000000000005732882713906314,   0.0000000000005526052139700637
                              11,   0.0000000000011045767370518265,   0.0000000000010632932291732662,   0.0000000000010236261543716022,   0.0000000000009855119463692808,   0.0000000000009488895480502815,   0.0000000000009137003117012123,    0.000000000000879887903273337,   0.0000000000008473982104992961,   0.0000000000008161792547054704,   0.0000000000007861811061677786,   0.0000000000007573558028652555,   0.0000000000007296572724919795,   0.0000000000007030412575938762,   0.0000000000006774652437026027,   0.0000000000006528883903441397,   0.0000000000006292714648048953
                              12,   0.0000000000012520002696855052,   0.0000000000012051291851802579,   0.0000000000011600935744129982,   0.0000000000011168212307184421,   0.0000000000010752428001660076,    0.000000000001035291667933097,   0.0000000000009969038492747368,   0.0000000000009600178848982778,   0.0000000000009245747405602176,   0.0000000000008905177107101882,   0.0000000000008577923260147409,   0.0000000000008263462646008054,   0.0000000000007961292668655981,   0.0000000000007670930537063461,   0.0000000000007391912480294695,   0.0000000000007123792994048583
                              13,   0.0000000000014124683441473811,   0.0000000000013594996297157296,    0.000000000001308605496797535,   0.0000000000012597042995618667,   0.0000000000012127176209224107,   0.0000000000011675701436778306,    0.000000000001124189526884932,   0.0000000000010825062872452894,    0.000000000001042453685295695,    0.000000000001003967616202046,   0.0000000000009669865049650637,   0.0000000000009314512058546421,   0.0000000000008973049058975901,   0.0000000000008644930322511497,   0.0000000000008329631633019206,   0.0000000000008026649433367386
                              14,   0.0000000000015873991361831297,    0.000000000001527766945707815,   0.0000000000014704707188558118,   0.0000000000014154184827245787,   0.0000000000013625219053387103,    0.000000000001311696150025478,   0.0000000000012628597357288334,   0.0000000000012159344030110509,    0.000000000001170844985502413,   0.0000000000011275192865700574,   0.0000000000010858879609872514,   0.0000000000010458844013940662,   0.0000000000010074446293496136,   0.0000000000009705071907847906,   0.0000000000009350130556728362,   0.0000000000009009055217429522
                              15,    0.000000000001778293597890071,   0.0000000000017113729948006374,   0.0000000000016470743526149215,   0.0000000000015852943885603927,   0.0000000000015259339131580123,   0.0000000000014688976661192738,   0.0000000000014140941589657087,   0.0000000000013614355240845687,    0.000000000001310837369947417,   0.0000000000012622186422307175,   0.0000000000012155014905892472,   0.0000000000011706111408443276,   0.0000000000011274757723594767,   0.0000000000010860264003862026,   0.0000000000010461967631722412,   0.0000000000010079232136337109
                              16,   0.0000000000019867432875497713,   0.0000000000019118466447852647,     0.00000000000183988506236305,   0.0000000000017707428635988808,   0.0000000000017043089619709199,   0.0000000000016404766766257928,   0.0000000000015791435554796233,   0.0000000000015202112055877681,   0.0000000000014635851304720104,   0.0000000000014091745741082403,   0.0000000000013568923712911843,   0.0000000000013066548041056316,   0.0000000000012583814642457945,   0.0000000000012119951209360914,    0.000000000001167421594217655,    0.000000000001124589633375391
                              17,     0.00000000000221443862291184,    0.000000000002130811706167903,     0.00000000000205046269769865,    0.000000000001973262334643441,   0.0000000000018990864903371274,   0.0000000000018278159672944413,   0.0000000000017593362987618655,   0.0000000000016935375584654507,   0.0000000000016303141782004754,   0.0000000000015695647729252428,   0.0000000000015111919730369834,   0.0000000000014551022635226166,   0.0000000000014012058296912085,    0.000000000001349416409208303,   0.0000000000012996511501649915,   0.0000000000012518304749266402
                              18,   0.0000000000024631776219733496,   0.0000000000023699953397220288,    0.000000000002280466381813435,   0.0000000000021944465910661245,   0.0000000000021117975467349636,   0.0000000000020323863326030163,   0.0000000000019560853147262667,    0.000000000001882771928408408,   0.0000000000018123284740029945,   0.0000000000017446419211592754,   0.0000000000016796037211460417,   0.0000000000016171096269048572,   0.0000000000015570595205002645,   0.0000000000014993572476498775,   0.0000000000014439104590318513,    0.000000000001390630458081038
                              19,   0.0000000000027348752008844893,   0.0000000000026312370022837054,   0.0000000000025316631200062278,   0.0000000000024359930701359807,    0.000000000002344072765110742,   0.0000000000022557542542855577,    0.000000000002170895475361774,     0.00000000000208936001620072,   0.0000000000020110168865642894,    0.000000000001935740299346608,   0.0000000000018634094608817525,   0.0000000000017939083699321492,    0.000000000001727125624980903,   0.0000000000016629542394689525,   0.0000000000016012914646346716,   0.0000000000015420386196294067
                              20,    0.000000000003031573103551933,    0.000000000002916498002850775,   0.0000000000028059369980945607,   0.0000000000026997117127630873,    0.000000000002597650892227116,   0.0000000000024995901138538224,     0.00000000000240537150933456,      0.0000000000023148434986878,   0.0000000000022278605354169234,    0.000000000002144282862327933,   0.0000000000020639762775361125,   0.0000000000019868119102132976,   0.0000000000019126660056489197,   0.0000000000018414197192182186,   0.0000000000017729589188702854,   0.0000000000017071739957667673
                              21,   0.0000000000033554505412840642,    0.000000000003227871744736634,    0.000000000003105299044004161,   0.0000000000029875344605820202,    0.000000000002874387935484055,    0.000000000002765677005634782,   0.0000000000026612264940032713,   0.0000000000025608682128561246,    0.000000000002464440679538094,   0.0000000000023717888442181914,    0.000000000002282763829066784,   0.0000000000021972226783553714,    0.000000000002115028118995389,   0.0000000000020360483310557632,   0.0000000000019601567278210366,   0.0000000000018872317449727525
                              22,    0.000000000003708835622714099,   0.0000000000035675947314252793,   0.0000000000034318978277194834,    0.000000000003301525467210753,   0.0000000000031762670018090283,    0.000000000003055920218781333,    0.000000000002940290995257929,   0.0000000000028291929674748533,   0.0000000000027224472140802595,    0.000000000002619881952865889,   0.0000000000025213322503170075,   0.0000000000024266397434043135,      0.0000000000023356523730698,    0.000000000002248224128885452,   0.0000000000021642148043890636,   0.0000000000020834897626254725
                              23,    0.000000000004094217653293803,   0.0000000000039380584129618606,    0.000000000003788030874095055,   0.0000000000036438920959643014,    0.000000000003505408897780208,   0.0000000000033723574564011236,    0.000000000003244522921397721,   0.0000000000031216990466672644,   0.0000000000030036878378323296,   0.0000000000028902992146981354,    0.000000000002781350688079585,   0.0000000000026766670503440313,   0.0000000000025760800790486215,    0.000000000002479428253082066,   0.0000000000023865564807499532,   0.0000000000022973158392702967
                              24,    0.000000000004514260378601935,    0.000000000004341821944974611,     0.00000000000417615695859097,    0.000000000004016996772159087,    0.000000000003864083557286992,    0.000000000003717169856363397,    0.000000000003576018153942692,   0.0000000000034404004667147256,   0.0000000000033100979511883514,    0.000000000003184900528263269,    0.000000000003064606523907547,   0.0000000000029490223251985686,   0.0000000000028379620510230574,    0.000000000002731247236767633,   0.0000000000026287065323650353,    0.000000000002530175413092942
                              25,   0.0000000000049718162348857655,   0.0000000000047816259221564166,   0.0000000000045989093462686305,   0.0000000000044233697489392655,    0.000000000004254722354331998,    0.000000000004092693870130124,    0.000000000003937022010529342,   0.0000000000037874550401018825,   0.0000000000036437513375398316,   0.0000000000035056789783382496,   0.0000000000033730153355284875,    0.000000000003245546697618717,    0.000000000003123067902942602,   0.0000000000030053819896583596,   0.0000000000028922998606792935,    0.000000000002783639962853528
                              26,   0.0000000000054699416514747566,    0.000000000005260407130149676,     0.00000000000505911001736226,   0.0000000000048657228293692476,    0.000000000004679931343195128,     0.00000000000450143404134791,    0.000000000004329941581175019,    0.000000000004165176287662541,    0.000000000004006871668546622,    0.000000000003854771950667275,    0.000000000003708631636552549,    0.000000000003568215080275086,    0.000000000003433296081673925,   0.0000000000033036574980821804,    0.000000000003179090872746055,    0.000000000003059396079162891
                              27,    0.000000000006011913420155655,    0.000000000005781314331572813,    0.000000000005559784895832997,    0.000000000005346964061877289,    0.000000000005142505443723973,    0.000000000004946076702638562,    0.000000000004757358957010662,    0.000000000004576046218570428,    0.000000000004401844853653829,    0.000000000004234473068297429,    0.000000000004073660416010396,    0.000000000003919147327134289,     0.00000000000377068465876002,   0.0000000000036280332642266645,   0.0000000000034909635812786586,   0.0000000000033592552380066853
                              28,    0.000000000006601246102689592,    0.000000000006347725059956195,    0.000000000006104180057208249,    0.000000000005870213387827729,   0.0000000000056454435529362895,    0.000000000005429504574110199,   0.0000000000052220453372636486,    0.000000000005022728966136942,    0.000000000004831232223915154,    0.000000000004647244941586278,    0.000000000004470469471725716,    0.000000000004300620166467059,    0.000000000004137422878487303,    0.000000000003980614483898788,   0.0000000000038299424260001126,    0.000000000003685164278894588
                              29,   0.0000000000072417103848343916,    0.000000000006963263335248991,   0.0000000000066957788345120444,    0.000000000006438819165012364,    0.000000000006191964511546842,    0.000000000005954812196857442,    0.000000000005726975952248695,    0.000000000005508085221495812,    0.000000000005297784496357571,    0.000000000005095732682105456,    0.000000000004901602491571228,    0.000000000004715079866300077,    0.000000000004535863423475778,    0.000000000004363663927358642,   0.0000000000041982037840465466,    0.000000000004039216558434508
                              30,    0.000000000007937352197855144,    0.000000000007631818130884433,    0.000000000007338319660981897,    0.000000000007056375414167679,    0.000000000006785523780640238,    0.000000000006525322064492967,    0.000000000006275345672938302,    0.000000000006035187342987901,    0.000000000005804456403659306,    0.000000000005582778071892932,   0.0000000000053697927804692535,   0.0000000000051651555363147984,    0.000000000004968535307677957,    0.000000000004779614438741825,    0.000000000004598088090322001,     0.00000000000442366370537274
                              31,     0.00000000000869251230960482,     0.00000000000835756230845968,    0.000000000008035814379113219,    0.000000000007726739531060049,    0.000000000007429830583556562,    0.000000000007144601219833752,    0.000000000006870585085833618,    0.000000000006607334931115326,   0.0000000000063544217897197995,    0.000000000006111434198914314,    0.000000000005877977453862225,    0.000000000005653672896378278,   0.0000000000054381572360374235,    0.000000000005231081902005403,   0.0000000000050321124240530105,    0.000000000004840927841303519
                              32,    0.000000000009511845928471255,    0.000000000009144971583855143,    0.000000000008792566599636171,      0.0000000000084540500667912,    0.000000000008128865133973314,    0.000000000007816477955357823,     0.00000000000751637668870291,    0.000000000007228070540920733,   0.0000000000069510888586220155,   0.0000000000066849802612525795,    0.000000000006429311814584899,    0.000000000006183668242462287,     0.00000000000594765117481866,    0.000000000005720878430113598,   0.0000000000055029833304313684,    0.000000000005293614047594163
                              33,     0.00000000001040034165498091,    0.000000000009998842888618863,    0.000000000009613189502197897,    0.000000000009242743994984923,    0.000000000008886895394702862,     0.00000000000854505808680893,    0.000000000008216670700452835,    0.000000000007901195048004356,    0.000000000007598115115236243,     0.00000000000730693609943044,    0.000000000007027183492844981,     0.00000000000675840220913606,    0.000000000006500155750476246,    0.000000000006252025413245754,    0.000000000006013609530300567,    0.000000000005784522747939242
                              34,    0.000000000011363338846457467,    0.000000000010924311231920984,    0.000000000010502622221433826,    0.000000000010097572646436592,    0.000000000009708492583251058,    0.000000000009334740050071518,    0.000000000008975699767990374,    0.000000000008630781982475705,     0.00000000000829942134194939,    0.000000000007981075830328065,     0.00000000000767522575058766,    0.000000000007381372756596255,    0.000000000007099038930630965,    0.000000000006827765904153315,   0.0000000000065671140195654236,    0.000000000006316661530806622
                              35,    0.000000000012406542117740886,    0.000000000011926863839658052,    0.000000000011466143646493877,    0.000000000011023615188761204,     0.00000000001059854434919663,    0.000000000010190227792022294,    0.000000000009797991584618302,    0.000000000009421189887475059,    0.000000000009059203708566232,    0.000000000008711439718534583,    0.000000000008377329123315296,    0.000000000008056326591037357,    0.000000000007747909230243299,     0.00000000000745157561665327,    0.000000000007166844865871719,   0.0000000000068932557495950495
                              36,    0.000000000013536031273384996,     0.00000000001301234993657704,    0.000000000012509382067556331,      0.0000000000120262881495505,    0.000000000011562264184295806,     0.00000000001111654007617093,    0.000000000010688378098293615,    0.000000000010277071435811017,    0.000000000009881942801934495,    0.000000000009502343122565259,    0.000000000009137650285630488,    0.000000000008787267951502634,     0.00000000000845062442110855,     0.00000000000812717155855236,    0.000000000007816383765277002,    0.000000000007517757002976234
                              37,     0.00000000001475826444322772,    0.000000000014186984034180787,    0.000000000013638318619308799,    0.000000000013111349016732824,    0.000000000012605195179357077,    0.000000000012119014394257978,    0.000000000011651999574942015,    0.000000000011203377640959357,    0.000000000010772407979737608,     0.00000000001035838098584801,    0.000000000009960616673238021,     0.00000000000957846335626095,     0.00000000000921129639560802,    0.000000000008858517005502187,    0.000000000008519551118748336,    0.000000000008193848306452388
                              38,    0.000000000016080071566971842,    0.000000000015457339985009322,    0.000000000014859281892265202,    0.000000000014284891392795904,     0.00000000001373320570604463,     0.00000000001320330315935612,    0.000000000012694301285825367,    0.000000000012205355021099713,    0.000000000011735654993199178,     0.00000000001128442589983041,    0.000000000010850924968047843,    0.000000000010434440491464728,    0.000000000010034290440538907,    0.000000000009649821141755826,     0.00000000000928040602180671,    0.000000000008925444413114306
                              39,    0.000000000017508634645516628,    0.000000000016830332363540408,     0.00000000001617893040877727,    0.000000000015553328530723707,    0.000000000014952473977083753,    0.000000000014375359254439001,    0.000000000013821020008513701,    0.000000000013288533016641879,    0.000000000012777014285569602,     0.00000000001228561724821004,    0.000000000011813531053414636,    0.000000000011359978943234316,    0.000000000010924216712523252,    0.000000000010505531246086704,    0.000000000010103239128897097,     0.00000000000971668532520012
                              40,    0.000000000019051450361765562,     0.00000000001831318094914133,    0.000000000017604218904635764,      0.0000000000169233613511063,    0.000000000016269457736317552,     0.00000000001564140733359235,    0.000000000015038156878388045,    0.000000000014458698332221792,    0.000000000013902066765991552,    0.000000000013367338355311735,    0.000000000012853628481007848,    0.000000000012360089928398304,    0.000000000011885911179436386,    0.000000000011430314792195395,    0.000000000010992555862557926,    0.000000000010571920563318866
                              41,    0.000000000020716269807345473,     0.00000000001991335325139514,     0.00000000001914234355177527,    0.000000000018401926262869242,    0.000000000017690844580147612,      0.0000000000170078965490273,    0.000000000016351932428367394,     0.00000000001572185219864292,    0.000000000015116603205575387,     0.00000000001453517793067553,    0.000000000013976611880773943,    0.000000000013439981589185318,    0.000000000012924402721675605,    0.000000000012429028280883135,    0.000000000011953046903287995,    0.000000000011495681243232435
                              42,      0.0000000000225110092012683,     0.00000000002163847919691867,    0.000000000020800660464148104,    0.000000000019996117343040046,     0.00000000001922347767004063,    0.000000000018481429659229507,    0.000000000017768718959677143,    0.000000000017084145877313618,    0.000000000016426562750607987,    0.000000000015794871470157833,    0.000000000015188021133021492,     0.00000000001460500582329766,    0.000000000014044862511073646,    0.000000000013506669062429872,    0.000000000012989542353708502,     0.00000000001249263648373278
                              43,    0.000000000024443624762746865,    0.000000000023496231395512773,     0.00000000002258657114884381,    0.000000000021713076771125698,    0.000000000020874250955041063,     0.00000000002006866285098549,     0.00000000001929494478116358,    0.000000000018551789140900144,     0.00000000001783794547473877,    0.000000000017152217715847915,    0.000000000016493461578121122,    0.000000000015860582091150884,    0.000000000015252531268981977,    0.000000000014668305904216224,    0.000000000014106945479651634,     0.00000000001356753019020029
                              44,    0.000000000026521944470381933,     0.00000000002549416398252622,     0.00000000002450736815181331,    0.000000000023559847008510638,    0.000000000022649967625025556,     0.00000000002177617021627364,    0.000000000020936964468919667,    0.000000000020130926083818768,      0.0000000000193566935172167,     0.00000000001861296490739054,    0.000000000017898495174434728,    0.000000000017212093281833163,    0.000000000016552619649313765,    0.000000000015918983707266038,    0.000000000015310141583719933,    0.000000000014725093915543294
                              45,     0.00000000002875344953905555,    0.000000000027639503119589723,    0.000000000026570034219038572,    0.000000000025543178271110474,    0.000000000024557155559816603,    0.000000000023610266856217542,     0.00000000002270088931634396,    0.000000000021827472622047538,    0.000000000020988535347995476,    0.000000000020182661539347576,    0.000000000019408497485864795,    0.000000000018664748679303393,    0.000000000017950176941958448,    0.000000000017263597715143454,    0.000000000016603877497236902,    0.000000000015969931421699633
                              46,     0.00000000003114499938245446,    0.000000000029938875495885096,     0.00000000002878097448976358,    0.000000000027669264602696242,     0.00000000002660180753272981,    0.000000000025576753535016452,    0.000000000024592336820513718,      0.0000000000236468712341083,    0.000000000022738746196325558,    0.000000000021866422891800838,    0.000000000021028430685834725,    0.000000000020223363750897243,    0.000000000019449877886889257,     0.00000000001870668752106878,     0.00000000001799256287529254,      0.0000000000173063272895571
